,Trig,Date yy/mm/dd,Time UT,BAT RA,BAT Dec,BAT Error,XRT RA,XRT Dec,XRT Error,UVOT RA,UVOT Dec,BLC,XLC,XS1,XS1p,XS2,XS2p,XIM,XIMp,USL,USLp,UIM,UIMp,ra,dec
20,1072706,2021-09-10,10:11:56,238.773,-54.055,3.0,238.7885,-54.0624,1.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 CATALOG2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,238.7885,-54.0624
21,1071993,2021-09-05,0:12:41,309.062,-44.431,3.0,309.0481,-44.4395,7.0,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,309.062,-44.431
22,1071769,2021-09-03,14:11:32,307.967,37.398,3.0,307.9671,37.4094,4.8,,,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3 SKY4 SOURCES4 FIELD_PS4 FIELD_JPEG4 FIELD_GIF4 FIELD_PDF4,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3 SKY4 SOURCES4 FIELD_PS4 FIELD_JPEG4 FIELD_GIF4 FIELD_PDF4,307.967,37.398
23,1071768,2021-09-03,14:04:44,299.55,34.943,3.0,299.5362,34.9755,4.7,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2,299.55,34.943
24,1071767,2021-09-03,14:00:44,186.147,-62.692,3.0,,,,,,FITS JPEG GIF PDF PS,,,,,,,,,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,186.147,-62.692
25,1071765,2021-09-03,13:53:56,186.206,-62.645,3.0,186.1622,-62.6816,6.0,,,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,,186.206,-62.645
26,1071762,2021-09-03,13:46:04,135.414,-40.309,3.0,135.4377,-40.3207,5.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,135.414,-40.309
27,1071488,2021-09-01,15:04:36,295.292,-76.932,3.0,295.2774,-76.9261,1.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 CATALOG2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,295.2774,-76.9261
28,1070298,2021-08-25,6:53:27,238.836,-54.07,3.0,238.7858,-54.0617,1.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 CATALOG2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,238.7858,-54.0617
29,1070157,2021-08-24,4:10:02,232.132,11.135,3.0,232.1051,11.1516,7.4,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,232.132,11.135
30,1069788,2021-08-22,9:18:18,304.476,5.265,3.0,304.4377,5.2786,6.4,304.4375,5.2833,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 CATALOG2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,304.476,5.265
