,Trig,Date,Time UT,Ra,Dec,Sat
256,651346229,2021-08-22,17:30:24,237.2,18.29,Fermi
257,651471008,2021-08-24,4:10:03,242.08,14.73,Fermi
258,651654110,2021-08-26,7:01:45,66.15,-78.27,Fermi
259,651751821,2021-08-27,10:10:16,309.32,-17.33,Fermi
260,651751169,2021-08-27,9:59:24,91.64,67.83,Fermi
261,651766354,2021-08-27,14:12:30,294.63,58.34,Fermi
262,651819844,2021-08-28,5:03:59,154.533,8.05,Fermi
263,651823082,2021-08-28,5:57:58,180.233,-73.917,Fermi
264,651937422,2021-08-29,13:43:38,69.267,28.6,Fermi
265,652073610,2021-08-31,3:33:25,169.6,63.733,Fermi
266,652326622,2021-09-03,1:50:17,178.57,39.07,Fermi
267,652321851,2021-09-03,0:30:46,270.9,15.59,Fermi
268,652382823,2021-09-03,17:26:59,154.74,19.82,Fermi
269,652457641,2021-09-04,14:13:57,8.95,-24.7,Fermi
270,652481264,2021-09-04,20:47:40,121.09,-43.97,Fermi
271,652585475,2021-09-06,1:44:30,294.0,18.78,Fermi
272,652855199,2021-09-09,4:39:54,297.017,85.933,Fermi
273,652906639,2021-09-09,18:57:15,291.43,30.86,Fermi
274,652877004,2021-09-09,10:43:19,175.44,83.87,Fermi
275,652911693,2021-09-09,20:21:28,270.867,35.533,Fermi
276,652927551,2021-09-10,0:45:47,301.7,17.76,Fermi
277,652935315,2021-09-10,2:55:10,284.983,19.183,Fermi
278,652934203,2021-09-10,2:36:38,288.62,25.96,Fermi
279,652981861,2021-09-10,15:50:57,297.65,8.75,Fermi
280,652930030,2021-09-10,1:27:06,25.867,48.25,Fermi
281,652964173,2021-09-10,10:56:08,276.033,-53.867,Fermi
282,652957973,2021-09-10,9:12:49,299.55,35.55,Fermi
283,652933271,2021-09-10,2:21:06,302.933,3.9,Fermi
284,653010039,2021-09-10,23:40:34,292.933,12.883,Fermi
285,652944960,2021-09-10,5:35:56,301.22,25.71,Fermi
286,653083551,2021-09-11,20:05:46,286.65,6.367,Fermi
287,653071808,2021-09-11,16:50:04,294.58,34.71,Fermi
288,653022153,2021-09-11,3:02:28,291.217,16.367,Fermi
289,653049776,2021-09-11,10:42:52,270.133,20.467,Fermi
290,653084584,2021-09-11,20:22:59,301.66,17.8,Fermi
291,653031163,2021-09-11,5:32:39,292.83,12.16,Fermi
292,653066130,2021-09-11,15:15:25,298.56,27.06,Fermi
293,653093506,2021-09-11,22:51:42,290.89,21.76,Fermi
294,653066776,2021-09-11,15:26:12,298.72,10.08,Fermi
295,653065385,2021-09-11,15:03:01,281.6,30.067,Fermi
296,653054042,2021-09-11,11:53:57,278.4,5.917,Fermi
297,653079281,2021-09-11,18:54:36,311.89,10.12,Fermi
298,653072474,2021-09-11,17:01:10,292.05,14.86,Fermi
299,653116452,2021-09-12,5:14:08,307.433,45.3,Fermi
300,653170575,2021-09-12,20:16:10,301.89,17.1,Fermi
301,653122278,2021-09-12,6:51:13,293.94,17.28,Fermi
302,653134216,2021-09-12,10:10:12,305.683,29.483,Fermi
303,653141965,2021-09-12,12:19:20,300.23,13.49,Fermi
304,653151835,2021-09-12,15:03:51,282.07,38.39,Fermi
305,653124492,2021-09-12,7:28:07,294.35,14.19,Fermi
306,653142699,2021-09-12,12:31:34,344.91,24.63,Fermi
307,653216489,2021-09-13,9:01:25,117.767,63.833,Fermi
308,653213811,2021-09-13,8:16:47,288.4,21.467,Fermi
309,653310641,2021-09-14,11:10:36,283.9,15.433,Fermi
310,653292770,2021-09-14,6:12:45,307.6,16.1,Fermi
311,653321747,2021-09-14,14:15:43,340.55,-5.15,Fermi
312,653313425,2021-09-14,11:57:01,317.05,31.483,Fermi
313,653289416,2021-09-14,5:16:51,102.767,19.4,Fermi
314,653354611,2021-09-14,23:23:27,15.017,24.817,Fermi
