,"Trig,SubNums",Date,Time UT,Mesg,RA,Dec,Error,Inten,Comments,Trig
241,"9288,0",2021-07-02,10:33:13,Weak,309.376,38.3595,3.6,6.68,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=50.0000 and Time_Error=50.0000. There is a bright star (mag=6.30) 7.96 arcmin from this position. Possibly real GRB event (WEAK detection),9288
242,"9289,0",2021-07-03,2:53:16,Weak,291.9844,36.6216,3.8,6.06,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9289
243,"9290,0",2021-07-03,3:37:07,Weak,293.7168,37.5474,3.78,6.08,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9290
244,"9292,0",2021-07-05,20:21:40,Weak,301.5426,39.4488,3.6,6.68,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9292
245,"9291,0",2021-07-05,1:26:51,Weak,126.897,-50.3735,3.72,6.28,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9291
246,"9293,0",2021-07-05,23:43:10,Weak,307.1515,32.8309,3.78,6.07,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9293
247,"9294,0",2021-07-06,17:14:51,Wakeup,293.7137,21.8645,3.05,9.92,"INTEGRAL GRB Coordinates. Time_Scale=0.0399 and Time_Error=2.0000. ObjectName=SGR_1935+2154,ObjectClass=2",9294
248,"9295,0",2021-07-07,0:33:33,Wakeup,293.7242,21.8921,3.13,9.1,"INTEGRAL GRB Coordinates. Time_Scale=2.0000 and Time_Error=2.0000. ObjectName=SGR_1935+2154,ObjectClass=2 NOTE: This INTEGRAL event is spatially(0.00<0.1deg) coincident with the INTEGRAL event (trignum=9294).",9295
249,"9296,1",2021-07-07,22:25:20,Offline,192.546,-63.2762,3.0,7.5,INTEGRAL GRB Coordinates. Time_Scale=25.0000 and Time_Error=25.0000. refined_coordinates_after_offline_analysis,9296
250,"9297,0",2021-07-08,9:38:14,Weak,191.128,-11.1786,3.8,6.07,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9297
251,"9299,0",2021-07-08,16:18:32,Weak,297.5059,36.4679,3.58,6.76,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=5.0000 and Time_Error=5.0000. Possibly real GRB event (WEAK detection),9299
252,"9298,0",2021-07-08,10:26:36,Weak,242.7794,32.6695,3.42,7.45,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9298
253,"9301,0",2021-07-11,4:00:52,Weak,304.5855,46.4663,3.63,6.57,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. There is a bright star (mag=6.54) 5.65 arcmin from this position. Possibly real GRB event (WEAK detection),9301
254,"9300,0",2021-07-11,3:17:08,Weak,298.1851,39.1761,3.63,6.54,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9300
255,"9302,0",2021-07-12,4:32:41,Weak,293.6953,21.9084,3.75,6.21,"INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.0399 and Time_Error=2.0000. ObjectName=SGR_1935+2154,ObjectClass=2 NOTE: This INTEGRAL event is spatially(0.00<0.1deg) coincident with the INTEGRAL event (trignum=9295).",9302
256,"9304,0",2021-07-13,17:58:50,Weak,118.735,-32.7943,3.7,6.34,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.3199 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9304
257,"9303,0",2021-07-13,17:21:39,Weak,119.6756,-28.5325,3.67,6.46,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=0.1599 and Time_Error=2.0000. Possibly real GRB event (WEAK detection),9303
258,"9307,0",2021-07-14,7:14:45,Weak,137.6482,-37.3069,3.78,6.1,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9307
259,"9306,0",2021-07-14,4:02:37,Weak,113.7621,-28.936,3.82,6.0,INTEGRAL GRB Coordinates -- this is the weak/subthreshold trigger notice. This notice may or may not be followed by a Wakeup/Refined/Offline notice. Time_Scale=1.2799 and Time_Error=8.0000. Possibly real GRB event (WEAK detection),9306
