TrigNum,Date,Time UT,MesgType,RA,Dec,Error,Comments
664875088,2022/1/26,7:31:23,GBM Flight Position,311.467,-24.717,10.38,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 32.25,-15.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664875088,2022/1/26,7:31:23,GBM Flight Position,11.1,-27.017,33.98,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 32.25,-15.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664830086,2022/1/25,19:01:22,GBM Flight Position,196.417,80.633,6.08,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 264.58,-24.95 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664830086,2022/1/25,19:01:22,GBM Flight Position,194.35,81.183,7.03,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 264.58,-24.95 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664830086,2022/1/25,19:01:22,GBM Flight Position,192.433,81.65,9.6,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 264.58,-24.95 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664830086,2022/1/25,19:01:22,GBM Ground Position,311.26,-71.03,7.18,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664830086.fits
664830086,2022/1/25,19:01:22,GBM Flight Position,343.433,-68.633,20.57,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 264.58,-24.95 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664808967,2022/1/25,13:09:22,GBM Flight Position,204.417,42.067,25.93,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 102.50,1.70 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664808967,2022/1/25,13:09:22,GBM Flight Position,326.983,31.217,33.1,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 102.50,1.70 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664738369,2022/1/24,17:32:44,GBM Ground Position,234.18,-46.64,5.08,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664738369.fits
664738369,2022/1/24,17:32:44,GBM Flight Position,237.9,-47.5,20.12,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 263.90,-18.60 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664681625,2022/1/24,1:47:00,GBM Final Position,274.51,-66.17,3.25,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
664383857,2022/1/20,15:04:13,GBM Flight Position,352.95,66.483,50,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 278.92,4.55 [deg]. WARNING: This Notice was received with a negative intensity field -- INTEN was set to 0. The LC_URL file will not be created until ~15 min after the trigger."
664383120,2022/1/20,14:51:56,GBM Final Position,249.74,-45.55,8.4,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
664383120,2022/1/20,14:51:56,GBM Ground Position,253.28,-42.36,5.63,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664383120.fits
664383120,2022/1/20,14:51:56,GBM Flight Position,237.083,-39.983,9.98,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 237.32,21.33 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664361143,2022/1/20,8:45:39,GBM Flight Position,146.533,59.333,30.62,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 21.22,1.88 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664361143,2022/1/20,8:45:39,GBM Flight Position,320.467,62.2,50,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 21.22,1.88 [deg]. WARNING: This Notice was received with a negative intensity field -- INTEN was set to 0. The LC_URL file will not be created until ~15 min after the trigger."
664350846,2022/1/20,5:54:01,GBM Flight Position,297.083,-24.017,5.2,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 132.33,-23.25 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664350846,2022/1/20,5:54:01,GBM Flight Position,302.667,-22.05,6.92,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 132.33,-23.25 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664222840,2022/1/18,18:20:36,GBM Final Position,191.37,23.58,5.03,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB. NOTE: This GBM event is temporally(3.0<100sec) coincident with the SWIFT_BAT event (trignum=1093742).
664222840,2022/1/18,18:20:36,GBM Ground Position,191.39,24.58,2.64,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(3.0<100sec) coincident with the SWIFT_BAT event (trignum=1093742).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664222840.fits
664222840,2022/1/18,18:20:36,GBM Ground Position,189.55,30.55,3.22,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(3.0<100sec) coincident with the SWIFT_BAT event (trignum=1093742).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664222840.fits
664222840,2022/1/18,18:20:36,GBM Flight Position,191.883,35.583,7.63,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 158.90,25.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(3.0<100sec) coincident with the SWIFT_BAT event (trignum=1093742)."
664222840,2022/1/18,18:20:36,GBM Flight Position,191.767,35.583,7.93,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 158.90,25.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(3.0<100sec) coincident with the SWIFT_BAT event (trignum=1093742)."
664202232,2022/1/18,12:37:08,GBM Flight Position,211.133,1.333,26.7,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 23.35,-17.75 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664201318,2022/1/18,12:21:53,GBM Flight Position,252.617,-54,35.2,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 333.63,5.62 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664198030,2022/1/18,11:27:05,GBM Flight Position,216.5,-32.817,22.8,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 141.97,-16.30 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664087560,2022/1/17,4:45:56,GBM Final Position,288.32,14.39,3.24,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
664087560,2022/1/17,4:45:56,GBM Ground Position,288.06,13.42,4.74,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664087560.fits
664087560,2022/1/17,4:45:56,GBM Ground Position,289.31,18.25,6.1,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664087560.fits
664087560,2022/1/17,4:45:56,GBM Flight Position,264.933,6.317,15.27,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 115.33,-2.70 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664076382,2022/1/17,1:39:37,GBM Flight Position,281.433,35.683,34.67,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 176.02,-8.78 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664075637,2022/1/17,1:27:13,GBM Flight Position,209.983,-5.217,34.72,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 136.33,11.10 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664051595,2022/1/16,18:46:30,GBM Ground Position,122.63,68.06,12.58,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664051595.fits
664051595,2022/1/16,18:46:30,GBM Flight Position,121.417,65.717,34.93,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 157.23,24.83 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
664034983,2022/1/16,14:09:39,GBM Ground Position,294.28,23.77,2.52,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(1.0<100sec) coincident with the INTEGRAL event (trignum=9621).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664034983.fits
664034983,2022/1/16,14:09:39,GBM Ground Position,290.91,25.2,2.93,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(1.0<100sec) coincident with the INTEGRAL event (trignum=9621).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_664034983.fits
